max_d,max_p,months_since,sizerank,state
"20061101T000000",526300,45,1,NY
"20060901T000000",593400,43,2,CA
"20070101T000000",247400,48,3,IL
"20070901T000000",121400,55,4,PA
"20060601T000000",245600,40,5,AZ
"20060701T000000",298100,41,6,NV
"20051001T000000",543200,32,7,CA
"20071101T000000",123400,57,8,TX
"20070301T000000",698000,49,9,CA
"20061101T000000",177800,45,10,FL
"20070901T000000",830200,55,11,CA
"20080101T000000",216200,59,12,TX
"20051201T000000",78700,34,13,MI
"20060401T000000",122200,38,14,OH
"20070301T000000",89800,49,15,TN
"20071101T000000",161600,57,16,NC
"20071201T000000",123700,58,17,TX
"20051001T000000",378400,32,18,MA
"20070801T000000",468100,54,19,WA
"20070701T000000",130000,53,20,MD
"20070301T000000",226500,49,21,CO
"20070401T000000",398500,50,22,DC
"20070901T000000",157200,55,23,TN
"20060401T000000",136600,38,24,WI
"20060501T000000",209900,39,25,AZ
"20070801T000000",298800,54,26,OR
"20081101T000000",109600,70,27,OK
"20060901T000000",133900,43,28,NE
"20071001T000000",199700,56,29,NM
"20060501T000000",286600,39,30,CA
"20060101T000000",352700,36,31,CA
"20060401T000000",245800,38,32,AZ
"20060701T000000",556900,41,33,CA
"20070701T000000",160100,53,34,MO
"20070401T000000",276200,50,35,VA
"20070701T000000",203900,53,36,CO
"20060401T000000",198000,38,37,GA
"20070301T000000",374200,49,38,FL
"20070301T000000",545200,49,39,CA
"20080701T000000",93000,65,40,OK
"20060301T000000",85900,37,41,OH
"20060501T000000",556600,39,42,HI
"20060401T000000",221700,38,43,MN
,nan,nan,44,LA
"20071101T000000",136200,57,45,TX
"20071201T000000",187700,58,46,NC
"20090601T000000",111000,76,47,KS
"20061001T000000",206300,44,48,FL
"20060601T000000",612800,40,49,CA
"20070101T000000",614700,48,50,CA
"20050201T000000",188200,25,51,CO
"20070401T000000",131700,50,52,MO
"20061201T000000",122800,46,53,OH
"20080901T000000",81300,68,54,PA
"20060901T000000",419700,43,55,CA
"20070901T000000",219400,55,56,GA
"20070801T000000",302000,54,57,AK
"20060501T000000",312500,39,58,CA
"20060501T000000",203200,39,59,MN
"20060301T000000",84800,37,60,OH
"20070401T000000",447700,50,61,MD
"20050901T000000",142600,32,62,KY
"20070401T000000",314000,50,63,NJ
"20061101T000000",193200,45,64,FL
"20060301T000000",376500,37,65,CA
"20071101T000000",213100,57,66,TX
"20060301T000000",314700,37,67,AZ
"20080901T000000",98700,68,68,KY
"20060401T000000",356300,38,69,NV
"20060401T000000",349800,38,70,CA
"20071201T000000",127200,58,71,AL
"20070501T000000",369500,51,72,NJ
"20050201T000000",107800,25,73,TX
"20060501T000000",251300,39,74,AZ
"20080701T000000",161900,65,75,NC
"20060801T000000",230600,42,76,FL
"20070501T000000",196600,51,77,VA
"20061001T000000",190300,44,78,FL
"20060401T000000",142600,38,79,FL
"20061001T000000",100600,44,80,IN
"20071101T000000",126500,57,81,NC
"20060501T000000",131200,39,82,NE
"20060801T000000",331700,42,83,CA
"20060801T000000",536300,42,84,CA
"20060501T000000",560400,39,85,CA
"20060901T000000",269100,43,86,VA
"20070301T000000",274600,49,87,FL
"20060301T000000",202400,37,88,WI
"20060601T000000",423400,40,89,CA
"20060401T000000",277600,38,90,FL
