max_d,max_p,months_since,sizerank,state,city,growth_rate,pop2010,pop2014
"20060601T000000",205100,40,1676,FL,Greenacres,3.91434,37682,39157
"20070901T000000",126900,55,3651,SC,Fountain Inn,5.92525,7679,8134
"20060201T000000",325700,37,1486,FL,Royal Palm Beach,8.10771,34239,37015
"20090701T000000",82800,77,2836,LA,Eunice,-0.739887,10407,10330
"20060401T000000",541100,38,1245,CA,La Quinta,6.03062,37691,39964
"20080201T000000",179200,61,1424,IL,Belvidere,-0.687845,30094,29887
"20060301T000000",438600,37,1077,CA,Grass Valley,0.163335,12857,12878
"20050801T000000",80700,30,3659,NC,Reidsville,-2.5348,14439,14073
"20071101T000000",221000,57,4114,IL,Lynwood,2.76981,9062,9313
"20051101T000000",309800,34,2803,FL,Gulf Breeze,7.03179,5788,6195
"20060301T000000",311400,37,1469,NH,Salem,0.788797,28778,29005
"20090501T000000",194700,75,2545,SC,Chapin,6.11111,1440,1528
"20060801T000000",460800,42,2821,NJ,Springfield,8.44582,15854,17193
"20060901T000000",222600,43,1930,IL,Lockport,0.745999,24933,25119
"20060601T000000",377700,40,1010,CA,Palm Springs,4.63854,44777,46854
"20080301T000000",154700,61,1565,FL,Live Oak,1.64819,6856,6969
"20060701T000000",485600,41,828,CA,San Pablo,3.23622,29108,30050
"20051201T000000",637600,34,527,CA,Petaluma,3.35299,58008,59953
"20090101T000000",97500,72,2332,OK,Bethany,2.56142,19091,19580
"20070201T000000",627700,49,3479,IL,River Forest,0.268384,11178,11208
"20061101T000000",260800,45,4977,IL,Orland Hills,0.83137,7217,7277
"20060501T000000",359400,39,1063,NJ,North Brunswick,2.65529,41389,42488
"20070901T000000",338900,55,1649,WA,University Place,3.70061,31130,32282
"20061101T000000",166400,45,4913,FL,Umatilla,4.90762,3464,3634
"20070401T000000",156000,50,1749,NC,Mebane,16.007,11445,13277
"20070301T000000",432400,49,1818,FL,Miami Lakes,4.39397,29495,30791
"20070701T000000",183800,53,4915,NJ,Clayton,1.52774,8182,8307
"20060301T000000",437600,37,713,CA,Woodland,3.37491,55557,57432
"20071101T000000",199800,57,541,NC,Asheville,5.19751,83540,87882
"20070101T000000",398800,48,4624,NJ,Bogota,1.62215,8199,8332
"20070301T000000",363100,49,2731,NJ,Highland Park,3.1585,13994,14436
"20060401T000000",254500,38,1462,FL,Riviera Beach,3.36682,32553,33649
"20060101T000000",513200,36,1307,NJ,Bridgewater,0.824052,44536,44903
"20060601T000000",228600,40,1921,CA,Yucca Valley,3.53219,20752,21485
"20061001T000000",178500,44,2463,FL,Winter Haven,7.12161,33953,36371
"20070101T000000",209500,48,4321,IL,Morris,3.50762,13656,14135
"20070201T000000",343300,49,2051,NJ,Hillside,2.18172,21451,21919
"20070301T000000",374200,49,38,FL,Miami,7.27833,401136,430332
"20070301T000000",545200,49,39,CA,Oakland,5.63138,391716,413775
"20061201T000000",158100,46,4072,IL,Wilmington,-0.64359,5749,5712
"20070401T000000",233400,50,2524,WA,Yelm,19.0531,6907,8223
"20070801T000000",287400,54,4869,NJ,Southampton,-0.95584,10462,10362
"20070301T000000",634100,49,999,CA,Newark,4.87033,42646,44723
"20060601T000000",341500,40,3310,NJ,South Amboy,2.18144,8664,8853
"20060401T000000",691000,38,2151,CA,Marina,5.42922,19745,20817
"20060801T000000",387300,42,130,CA,Moreno Valley,4.41743,194389,202976
"20060201T000000",779900,37,343,CA,Santa Cruz,4.56968,60595,63364
"20070501T000000",537600,51,755,CA,Montebello,2.21444,62544,63929
"20060101T000000",578600,36,227,CA,Concord,3.96295,122661,127522
"20060101T000000",468200,36,161,CA,Elk Grove,6.58807,153444,163553
"20070501T000000",480900,51,4673,WA,Carnation,3.46175,1791,1853
"20070601T000000",323200,52,2649,WA,Covington,8.58018,17622,19134
"20060501T000000",478700,39,3796,NJ,Waldwick,2.70521,9685,9947
"20070701T000000",130000,53,20,MD,Baltimore,2.5665,806233,826925
"20061001T000000",253000,44,3164,MD,North East,1.4196,3663,3715
"20060701T000000",284400,41,4051,NJ,Westampton,-0.760672,8808,8741
"20060401T000000",431900,38,476,CA,Manteca,8.55995,67699,73494
"20060501T000000",506900,39,422,CA,Chino,7.82712,78573,84723
"20060201T000000",342100,37,1326,CA,Atwater,2.74729,28246,29022
"20060501T000000",234100,39,4578,NJ,Pittsgrove,-2.22862,9378,9169
"20070401T000000",450700,50,739,CA,Azusa,5.28144,46351,48799
"20070501T000000",466400,51,578,CA,Lynwood,3.14286,69650,71839
"20070201T000000",274800,49,1941,IL,Huntley,5.15875,24347,25603
"20060901T000000",516900,43,3670,CA,Signal Hill,4.56319,11023,11526
"20060701T000000",606600,41,964,CA,Diamond Bar,2.13317,55598,56784
"20061101T000000",571800,45,318,CA,San Leandro,4.95583,85132,89351
"20081201T000000",106000,70,822,OK,Moore,6.8462,55403,59196
"20070501T000000",432200,51,2887,NJ,Harrison,12.6364,13651,15376
"20051101T000000",358300,34,411,CA,Citrus Heights,3.32854,83370,86145
"20070701T000000",464400,53,529,CA,Huntington Park,2.08075,58152,59362
"20080701T000000",119100,65,2940,NC,Yadkinville,-1.04694,2961,2930
"20060901T000000",170500,43,3147,FL,Holly Hill,0.969791,11652,11765
"20070901T000000",301400,55,1061,CA,Eureka,-1.00011,27197,26925
"20080101T000000",105700,59,864,NC,Morganton,-1.10802,16877,16690
"20081101T000000",168000,70,2617,IL,Morton,1.33276,16282,16499
"20060801T000000",195100,42,509,FL,Deltona,1.98237,85201,86890
"20071101T000000",100300,57,4698,NC,Lincolnton,2.16088,10505,10732
"20090701T000000",76700,77,4346,OK,Hulbert,1.52027,592,601
"20080701T000000",117300,65,1236,AR,Hot Springs,1.23734,35237,35673
"20061001T000000",178300,44,2573,FL,Mulberry,2.56343,3823,3921
"20060501T000000",312500,39,58,CA,Bakersfield,5.67856,348944,368759
"20081101T000000",96500,70,3645,OK,Warr Acres,3.36677,10069,10408
"20060101T000000",466300,36,274,CA,Roseville,7.75024,119364,128615
"20071101T000000",147700,57,4794,NC,Stokesdale,4.54635,5059,5289
"20060201T000000",443100,37,2506,NJ,Denville,0.826793,16691,16829
"20060801T000000",382700,42,1787,IL,Morton Grove,0.871469,23294,23497
"20060801T000000",279400,42,3653,MD,Rising Sun,0.735294,2856,2877
"20070301T000000",527000,49,3792,IL,Clarendon Hills,2.61941,8437,8658
"20060801T000000",477100,42,3991,IL,Riverside,0.0897321,15602,15616
"20060701T000000",471300,41,2278,NJ,Morristown,4.02813,18346,19085
"20051001T000000",817100,32,2448,CA,El Segundo,2.38824,16665,17063
"20061101T000000",404900,45,3864,MD,Centreville,6.39684,4299,4574
"20051101T000000",527900,34,2440,IL,Deerfield,0.728687,18252,18385
"20070501T000000",231400,51,908,CA,Oroville,1.69917,15949,16220
"20060801T000000",430900,42,921,CA,Menifee,9.06507,78102,85182
"20071101T000000",1.6587e+06,57,1413,CA,Saratoga,3.09954,30069,31001
"20060301T000000",379900,37,4895,NJ,Shamong,-0.525827,6466,6432
"20060401T000000",543600,38,3358,CA,Canyon Lake,3.75047,10612,11010
"20070401T000000",292400,50,1237,WA,Puyallup,5.63494,37019,39105
"20081001T000000",151600,68,464,IL,Bloomington,2.57045,76757,78730
"20060501T000000",141700,39,3211,IL,North Chicago,-6.71802,32584,30395
"20071001T000000",104300,56,2266,NC,Kings Mountain,0,10644,10644
"20051101T000000",613900,34,831,CA,Poway,3.89979,47977,49848
"20060501T000000",757400,39,784,CA,Fountain Valley,2.70407,55509,57010
"20060801T000000",233100,42,1602,IL,Oak Forest,0.682557,27983,28174
"20060301T000000",470000,37,1473,CA,Wildomar,9.04019,32444,35377
"20060101T000000",528900,36,516,CA,Folsom,4.4027,72183,75361
"20061101T000000",127500,45,1553,AR,Cabot,6.97529,23956,25627
"20061201T000000",239700,46,872,FL,Homestead,7.72898,60823,65524
"20070401T000000",892700,50,3603,IL,Barrington Hills,0.804734,4225,4259
"20060701T000000",588800,41,1478,CA,Temple City,2.10769,35584,36334
"20060301T000000",362700,37,2987,CA,Riverbank,4.49177,22775,23798
"20090501T000000",319800,75,866,CA,Hollister,5.7063,35084,37086
"20070501T000000",287400,51,785,WA,Port Orchard,8.3558,12243,13266
"20060201T000000",816700,37,542,CA,Pleasanton,10.2686,70448,77682
"20071101T000000",119300,57,2240,IL,East Peoria,-0.273049,23439,23375
"20060101T000000",326400,36,3240,CA,Livingston,5.65158,13076,13815
"20070201T000000",303900,49,3468,WA,Sumner,2.51059,9440,9677
"20051001T000000",295200,32,2015,NH,Portsmouth,1.78134,21220,21598
"20090101T000000",181700,72,916,WA,Richland,9.33782,48491,53019
"20060301T000000",306600,37,4470,NH,Bow,2.10302,7513,7671
"20060301T000000",441900,37,1885,CA,Suisun City,3.92157,28152,29256
"20070901T000000",174500,55,3442,NC,Indian Trail,7.68228,33766,36360
"20071001T000000",116500,56,3582,SC,Central,-0.540854,5177,5149
"20061201T000000",121200,46,2064,AR,Siloam Springs,5.47764,15116,15944
"20060601T000000",160200,40,2212,IL,Zion,-0.414529,24365,24264
"20060601T000000",243500,40,577,CA,Hanford,1.71229,54138,55065
"20070901T000000",184300,55,2833,WA,Selah,3.34583,7203,7444
"20071201T000000",244700,58,1780,NC,Cornelius,9.93279,24998,27481
"20080501T000000",108400,63,612,NC,Gastonia,2.72787,71741,73698
"20081101T000000",109600,70,27,OK,Oklahoma City,6.61469,582098,620602
"20060601T000000",453400,40,1692,MD,Mount Airy,0.957092,9299,9388
"20051101T000000",117700,34,1677,NC,Oxford,2.67499,8486,8713
"20071101T000000",334600,57,399,NC,Chapel Hill,3.35788,57447,59376
"20060101T000000",856000,36,523,CA,San Ramon,4.03535,72410,75332
"20051201T000000",892500,34,1616,CA,Goleta,2.80402,29957,30797
"20060501T000000",179200,39,3656,FL,Fruitland Park,5.17986,4170,4386
"20070201T000000",214700,49,4372,DE,Clayton,5.16769,2922,3073
"20060901T000000",858400,43,4236,FL,Palm Beach,5.54801,1324241,1397710
"20051201T000000",587000,34,3217,CA,Loomis,4.47205,6440,6728
"20090601T000000",77000,76,1267,IL,Galesburg,-1.63125,32184,31659
"20051001T000000",543200,32,7,CA,San Diego,5.73724,1306133,1381069
"20070601T000000",314600,52,2382,WA,Washougal,6.01498,14148,14999
"20070701T000000",593200,53,1255,WA,Woodinville,3.70235,10966,11372
"20060401T000000",317500,38,4311,CA,Waterford,3.14198,8466,8732
"20070301T000000",174400,49,3840,IL,Poplar Grove,2.8043,5028,5169
"20060101T000000",193800,36,460,FL,Melbourne,2.78807,76361,78490
"20070201T000000",309000,49,1967,IL,Westmont,1.13438,24683,24963
"20060201T000000",440500,37,937,CA,Palm Desert,5.13758,48700,51202
"20070101T000000",311500,48,1639,IL,Elk Grove Village,0.687762,33151,33379
"20060601T000000",601600,40,1571,CA,Norco,-0.516624,27099,26959
"20060401T000000",628500,38,2635,CA,Healdsburg,3.05924,11310,11656
"20060301T000000",518000,37,262,CA,Vista,4.21851,94109,98079
"20080701T000000",175100,65,530,SC,Simpsonville,9.05495,18454,20125
"20060601T000000",605100,40,1806,CA,La Verne,3.84999,31091,32288
"20060401T000000",493500,38,4242,CA,Winters,4.78563,6624,6941
"20070401T000000",460500,50,2118,CA,South El Monte,2.1656,20133,20569
"20060601T000000",642700,40,199,CA,Fullerton,3.16641,135390,139677
"20060801T000000",377900,42,1111,CA,Beaumont,13.3766,37289,42277
"20070801T000000",456400,54,2253,WA,Mill Creek,5.11333,18266,19200
"20060501T000000",280200,39,1839,CA,Paradise,0.97736,26193,26449
"20060101T000000",307700,36,553,CA,Yuba City,1.22505,64977,65773
"20060801T000000",230600,42,76,FL,Orlando,9.5714,239453,262372
"20070801T000000",442200,54,763,WA,Snohomish,6.18163,715362,759583
"20070401T000000",676700,50,1261,CA,West Hollywood,4.22016,34430,35883
"20060301T000000",227300,37,993,NH,Concord,-0.520321,42666,42444
"20060501T000000",343300,39,372,FL,Plantation,7.13265,85368,91457
"20061101T000000",278200,45,569,IL,Schaumburg,0.82658,74282,74896
"20070101T000000",142500,48,2019,IL,Dolton,0.608651,23166,23307
"20080401T000000",200700,62,2334,NC,Hillsborough,4.60128,6107,6388
"20060801T000000",194800,42,3575,FL,Gulfport,1.45554,12023,12198
"20061201T000000",479000,46,2222,CA,Duarte,3.03399,21358,22006
"20060501T000000",243800,39,2962,FL,Hernando,1.68144,172947,175855
"20080201T000000",282400,61,4020,NC,Beaufort,3.35058,4059,4195
"20070801T000000",306100,54,599,WA,Bellingham,2.96552,80964,83365
"20051201T000000",488900,34,709,CA,Rocklin,5.14174,57393,60344
"20070601T000000",343100,52,1129,WA,Bonney Lake,8.12256,17396,18809
"20060601T000000",99100,40,3764,NH,Berlin,-5.17964,10020,9501
"20060101T000000",538700,36,1409,CA,Atascadero,2.52314,28417,29134
"20080801T000000",99000,66,1337,AR,Van Buren,1.07338,22825,23070
"20090101T000000",90000,72,991,SC,Orangeburg,-2.40705,92312,90090
"20071201T000000",128600,58,1783,NC,Waynesville,-0.883428,9848,9761
"20050901T000000",276200,32,1804,NH,Merrimack,0.572257,25513,25659
"20071001T000000",138100,56,3378,NJ,Gloucester City,-1.1702,11451,11317
"20060801T000000",199600,42,3166,FL,South Daytona,1.24132,12245,12397
"20070501T000000",710000,51,315,CA,Daly City,4.70147,101330,106094
"20071101T000000",208000,57,4926,WA,Sedro-Woolley,1.63346,10591,10764
"20051201T000000",153400,34,469,FL,Milton,6.59068,8861,9445
"20060501T000000",788300,39,125,CA,Huntington Beach,4.91479,191402,200809
"20051201T000000",260000,34,2099,CA,Susanville,-12.3103,17725,15543
"20080501T000000",139000,63,3419,NC,Angier,10.3606,4382,4836
"20060301T000000",633600,37,378,CA,Livermore,6.8262,81319,86870
"20090701T000000",116800,77,4614,AR,Bauxite,3.68852,488,506
"20070401T000000",668700,50,195,CA,Pasadena,2.67696,137208,140881
"20070501T000000",243100,51,1303,WA,Lacey,6.73838,42577,45446
"20061001T000000",141400,44,2845,FL,Zephyrhills,6.10152,13554,14381
"20070801T000000",220700,54,2217,IL,Evergreen Park,0.367536,19862,19935
"20060801T000000",329700,42,3609,NJ,Bound Brook,6.66923,10421,11116
"20080101T000000",239000,59,2968,NC,Weaverville,5.66549,3689,3898
"20061001T000000",168400,44,3836,FL,Keystone Heights,4.858,1338,1403
"20070901T000000",305700,55,2252,WA,Tukwila,3.99916,19154,19920
"20060901T000000",434600,43,3220,NJ,Saddle Brook,2.2297,13679,13984
"20070101T000000",447500,48,2894,NJ,Fairview,3.19302,13874,14317
"20060801T000000",425900,42,832,FL,Bonita Springs,12.112,43973,49299
"20061001T000000",428800,44,2901,CA,Hawaiian Gardens,1.99692,14272,14557
"20051201T000000",470500,34,768,CA,Santee,6.32525,53658,57052
"20060401T000000",397800,38,2288,NH,Bedford,2.21981,21218,21689
"20060901T000000",732300,43,1588,CA,Arroyo Grande,3.68826,17271,17908
"20070201T000000",368900,49,2250,WA,Stanwood,7.63456,6261,6739
"20060601T000000",288100,40,4190,FL,Clermont,6.11735,28836,30600
"20060401T000000",398800,38,2294,NJ,Point Pleasant,1.34658,18417,18665
"20051101T000000",242600,34,1388,NH,Dover,2.13836,30023,30665
"20070301T000000",413100,49,1724,NJ,Nutley,1.1133,28384,28700
"20060701T000000",512500,41,1185,SC,Hilton Head Island,7.47282,37255,40039
"20071101T000000",147200,57,3621,LA,Haughton,-2.21455,3477,3400
"20090401T000000",110600,74,3955,SC,Pickens,0.96716,119215,120368
"20060701T000000",281100,41,1106,FL,Winter Springs,2.6867,33275,34169
"20060301T000000",683000,37,451,CA,Watsonville,3.58271,51274,53111
"20060501T000000",293000,39,4418,MD,Boonsboro,0.0580215,3447,3449
"20070501T000000",557100,51,3316,NJ,Edgewater,7.05117,11530,12343
"20070101T000000",424800,48,4034,NJ,East Rutherford,9.76921,8926,9798
"20051101T000000",151100,34,3660,CA,Corning,-1.63977,7684,7558
"20070401T000000",189400,50,1741,IL,South Holland,0.453638,22044,22144
"20060701T000000",326700,41,549,CA,Apple Valley,3.26698,69330,71595
